string_id	string_id_alias	uniprot_alias
459	4932.YBR200W-A	YBR200W-A	YB200
460	4932.YBR201W	DER1	DER1
461	4932.YBR202W	MCM7	MCM7
462	4932.YBR203W	COS111	CS111
463	4932.YBR204C	LDH1	LDH1
464	4932.YBR205W	KTR3	KTR3
465	4932.YBR207W	FTH1	FTH1
466	4932.YBR208C	DUR1	DUR1
467	4932.YBR209W	YBR209W	YB59
468	4932.YBR210W	ERV15	ERV15
469	4932.YBR211C	AME1	CENPU
470	4932.YBR212W	NGR1	NGR1
471	4932.YBR213W	MET8	MET8
472	4932.YBR214W	SDS24	SDS24
473	4932.YBR215W	HPC2	HPC2
474	4932.YBR216C	YBP1	YBP1
475	4932.YBR217W	ATG12	ATG12
476	4932.YBR218C	PYC2	PYC2
477	4932.YBR219C	YBR219C	YB69
478	4932.YBR220C	YBR220C	YB70
479	4932.YBR221C	PDB1	ODPB
480	4932.YBR221W-A	YBR221W-A	YB221
481	4932.YBR222C	PCS60	FAT2
482	4932.YBR223C	TDP1	TYDP1
483	4932.YBR224W	YBR224W	YB74
484	4932.YBR225W	YBR225W	YB75
485	4932.YBR226C	YBR226C	YB76
486	4932.YBR227C	MCX1	CLPX
487	4932.YBR228W	SLX1	endonuclease
488	4932.YBR229C	ROT2	GLU2A
489	4932.YBR230C	OM14	OM14
490	4932.YBR230W-A	YBR230W-A	YB230
491	4932.YBR231C	SWC5	SWC5
492	4932.YBR232C	YBR232C	YB82
493	4932.YBR233W	PBP2	PBP2
494	4932.YBR233W-A	DAD3	DAD3
495	4932.YBR234C	ARC40	ARPC1
496	4932.YBR235W	VHC1	VHC1
497	4932.YBR236C	ABD1	MCES
498	4932.YBR237W	PRP5	PRP5
499	4932.YBR238C	YBR238C	RMD9L
500	4932.YBR239C	ERT1	ERT1
501	4932.YBR240C	THI2	THI2
502	4932.YBR241C	YBR241C	YB91
503	4932.YBR242W	YBR242W	YB92
504	4932.YBR243C	GPT	GPT
505	4932.YBR244W	GPX2	GPX2
506	4932.YBR245C	ISW1	ISW1
507	4932.YBR246W	RRT2	DPH7
508	4932.YBR247C	ENP1	ENP1
509	4932.YBR248C	HIS7	HIS7
510	4932.YBR249C	ARO4	AROG
511	4932.YBR250W	SPO23	SPO23
512	4932.YBR251W	MRPS5	RT05
513	4932.YBR252W	DUT	DUT
514	4932.YBR253W	SRB6	MED22
515	4932.YBR254C	TRS20	TRS20
516	4932.YBR255C-A	RCF3	YB255
517	4932.YBR255W	MTC4	MTC4
518	4932.YBR256C	RS	RS
519	4932.YBR257W	POP4	POP4
520	4932.YBR258C	SHG1	SHG1
521	4932.YBR259W	YBR259W	YB9F
522	4932.YBR260C	RGD1	RGD1
523	4932.YBR261C	TAE1	NTM1
524	4932.YBR262C	MIC12	MIC12
525	4932.YBR263W	SHM1	GLYM
526	4932.YBR264C	YPT10	YPT10
527	4932.YBR265W	TSC10	TSC10
528	4932.YBR266C	SLM6	SLM6
529	4932.YBR267W	REI1	REI1
530	4932.YBR268W	MRPL37	RM37
531	4932.YBR269C	SDH8	SDHF4
532	4932.YBR270C	BIT2	BIT2
533	4932.YBR271W	EFM2	EFM2
534	4932.YBR272C	HSM3	HSM3
535	4932.YBR273C	UBX7	UBX7
536	4932.YBR274W	CHK1	CHK1
537	4932.YBR275C	RIF1	RIF1
538	4932.YBR276C	PPS1	PPS1
539	4932.YBR277C	YBR277C	YB9U
540	4932.YBR278W	DPB3	DPB3
541	4932.YBR279W	PAF1	PAF1
542	4932.YBR280C	SAF1	SAF1
543	4932.YBR281C	DUG2	DUG2
544	4932.YBR282W	MRPL27	RM27
545	4932.YBR283C	SSH1	SSH1
546	4932.YBR284W	YBR284W	YB9Z
547	4932.YBR285W	YBR285W	YB8A
548	4932.YBR286W	APE3	APE3
549	4932.YBR287W	YBR287W	YB8B
550	4932.YBR288C	APM3	AP3M
551	4932.YBR289W	SNF5	SNF5
552	4932.YBR290W	BSD2	BSD2
553	4932.YBR291C	CTP1	TXTP
554	4932.YBR292C	YBR292C	YB8F
555	4932.YBR293W	VBA2	VBA2
556	4932.YBR294W	SUL1	SUL1
